domain,problem,time,result
pipesworld-tankage,p13-net2-b12-g3-t70.pddl,8.631364583969116,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p33-net4-b16-g5-t60.pddl,9.575346231460571,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p15.pddl,232.02029633522034,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p02-net1-b6-g4-t50.pddl,7.640018701553345,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p25-net3-b16-g5-t60.pddl,7.731231927871704,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p27-net3-b18-g6-t70.pddl,18.707407474517822,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p06-net1-b10-g6-t50.pddl,6.615009784698486,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p01-net1-b6-g2-t50.pddl,14.844853401184082,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p38-net4-b20-g7-t60.pddl,9.25388765335083,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p44-net5-b24-g5-t80.pddl,15.980533838272095,NON_ROBUST_SINGLE_AGENT
tpp,p27.pddl,11.043544054031372,NON_ROBUST_SINGLE_AGENT
tpp,p16.pddl,14.439117670059204,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p47-net5-b28-g5-t50.pddl,46.36644172668457,NON_ROBUST_SINGLE_AGENT
tpp,p30.pddl,16.544881582260132,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p50-net5-b30-g8-t50.pddl,20.48676109313965,NON_ROBUST_SINGLE_AGENT
tpp,p05.pddl,15.698710680007935,NON_ROBUST_SINGLE_AGENT
tpp,p18.pddl,11.24811863899231,NON_ROBUST_SINGLE_AGENT
pipesworld-tankage,p49-net5-b30-g6-t50.pddl,33.26125764846802,NON_ROBUST_SINGLE_AGENT
tpp,p12.pddl,16.969245433807373,NON_ROBUST_SINGLE_AGENT
tpp,p25.pddl,23.63481855392456,NON_ROBUST_SINGLE_AGENT
tpp,p15.pddl,8.438238859176636,NON_ROBUST_SINGLE_AGENT
tpp,p29.pddl,17.5854811668396,NON_ROBUST_SINGLE_AGENT
tpp,p20.pddl,21.10548758506775,NON_ROBUST_SINGLE_AGENT
tpp,p10.pddl,25.391774892807007,NON_ROBUST_SINGLE_AGENT
tpp,p19.pddl,21.083247423171997,NON_ROBUST_SINGLE_AGENT
tpp,p14.pddl,26.66775679588318,NON_ROBUST_SINGLE_AGENT
tpp,p07.pddl,14.000300407409668,NON_ROBUST_SINGLE_AGENT
tpp,p22.pddl,23.470961570739746,NON_ROBUST_SINGLE_AGENT
tpp,p17.pddl,10.986445426940918,NON_ROBUST_SINGLE_AGENT
tpp,p26.pddl,24.817928791046143,NON_ROBUST_SINGLE_AGENT
tpp,p23.pddl,50.88152027130127,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p09.pddl,296.2964026927948,NON_ROBUST_SINGLE_AGENT
tpp,p24.pddl,51.87366199493408,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p17.pddl,230.07792353630066,NON_ROBUST_SINGLE_AGENT
sokoban-opt08-strips,p07.pddl,511.0643026828766,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p03.pddl,93.96282291412354,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p05.pddl,110.6775062084198,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p04.pddl,119.93418407440186,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p20.pddl,106.22424840927124,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p08.pddl,157.03568410873413,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p19.pddl,81.82762837409973,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p14.pddl,252.31392860412598,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p12.pddl,264.20670986175537,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p16.pddl,265.97788190841675,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p18.pddl,275.81668639183044,NON_ROBUST_SINGLE_AGENT
rovers,p16.pddl,10.951308488845825,NON_ROBUST_SINGLE_AGENT
rovers,p25.pddl,20.87596583366394,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p10.pddl,305.588538646698,NON_ROBUST_SINGLE_AGENT
sokoban-sat11-strips,p06.pddl,158.51406931877136,NON_ROBUST_SINGLE_AGENT
rovers,p08.pddl,5.6790525913238525,NON_ROBUST_SINGLE_AGENT
rovers,p27.pddl,44.54057455062866,NON_ROBUST_SINGLE_AGENT
rovers,p05.pddl,4.97672963142395,NON_ROBUST_SINGLE_AGENT
rovers,p04.pddl,4.498507738113403,NON_ROBUST_SINGLE_AGENT
rovers,p12.pddl,11.301863193511963,NON_ROBUST_SINGLE_AGENT
rovers,p03.pddl,4.671596050262451,NON_ROBUST_SINGLE_AGENT
